League,Team,Avg Home Attendance,Total Home Attendance,Highest Home Attendance,Lowest Home Attendance,Season,KEY
Premier League,Manchester United,"74,976","1,424,538","75,118","74,726",2017/18,Premier League|Manchester United|2017/18
Premier League,Tottenham Hotspur,"67,496","1,282,417","83,222","46,438",2017/18,Premier League|Tottenham Hotspur|2017/18
Premier League,Arsenal,"59,323","1,127,133","59,547","58,420",2017/18,Premier League|Arsenal|2017/18
Premier League,West Ham United,"56,885","1,080,808","56,988","56,197",2017/18,Premier League|West Ham United|2017/18
Premier League,Manchester City,"53,812","1,022,434","54,452","49,108",2017/18,Premier League|Manchester City|2017/18
Premier League,Liverpool,"53,049","1,007,931","53,287","50,752",2017/18,Premier League|Liverpool|2017/18
Premier League,Newcastle United,"51,992","987,844","52,311","50,174",2017/18,Premier League|Newcastle United|2017/18
Premier League,Chelsea,"41,282","784,353","41,616","38,910",2017/18,Premier League|Chelsea|2017/18
Premier League,Everton,"38,797","737,143","39,221","37,580",2017/18,Premier League|Everton|2017/18
Premier League,Leicester City,"31,583","600,084","32,202","30,203",2017/18,Premier League|Leicester City|2017/18
Premier League,Southampton,"30,794","585,084","31,930","27,714",2017/18,Premier League|Southampton|2017/18
Premier League,Brighton & Hove Albion,"30,403","577,648","30,631","29,676",2017/18,Premier League|Brighton & Hove Albion|2017/18
Premier League,Stoke City,"29,280","556,317","30,022","27,458",2017/18,Premier League|Stoke City|2017/18
Premier League,Crystal Palace,"25,063","476,189","25,840","23,477",2017/18,Premier League|Crystal Palace|2017/18
Premier League,West Bromwich Albion,"24,520","465,878","26,223","22,704",2017/18,Premier League|West Bromwich Albion|2017/18
Premier League,Huddersfield Town,"24,026","456,500","24,169","23,548",2017/18,Premier League|Huddersfield Town|2017/18
Premier League,Burnley,"20,688","393,080","21,841","18,862",2017/18,Premier League|Burnley|2017/18
Premier League,Swansea City,"20,622","391,827","20,933","19,580",2017/18,Premier League|Swansea City|2017/18
Premier League,Watford,"20,231","384,388","20,552","20,002",2017/18,Premier League|Watford|2017/18
Premier League,AFC Bournemouth,"10,641","202,174","10,998","10,242",2017/18,Premier League|AFC Bournemouth|2017/18
Bundesliga,Borussia Dortmund,"79,496","1,351,439","81,360","54,300",2017/18,Bundesliga|Borussia Dortmund|2017/18
Bundesliga,Bayern Munich,"75,000","1,275,000","75,000","75,000",2017/18,Bundesliga|Bayern Munich|2017/18
Bundesliga,FC Schalke 04,"61,297","1,042,041","62,271","59,215",2017/18,Bundesliga|FC Schalke 04|2017/18
Bundesliga,VfB Stuttgart,"56,045","952,771","58,932","50,500",2017/18,Bundesliga|VfB Stuttgart|2017/18
Bundesliga,Hamburger SV,"51,248","871,209","62,195","40,983",2017/18,Bundesliga|Hamburger SV|2017/18
Bundesliga,"Borussia M'gladbach","50,986","866,755","54,018","42,016",2017/18,"Bundesliga|Borussia M'gladbach|2017/18"
Bundesliga,Eintracht Frankfurt,"49,100","834,700","51,500","45,100",2017/18,Bundesliga|Eintracht Frankfurt|2017/18
Bundesliga,1. FC Koln,"48,776","829,200","50,000","41,100",2017/18,Bundesliga|1. FC Koln|2017/18
Bundesliga,Hertha BSC,"45,672","776,422","71,212","29,231",2017/18,Bundesliga|Hertha BSC|2017/18
Bundesliga,Hannover 96,"42,706","726,000","49,000","32,800",2017/18,Bundesliga|Hannover 96|2017/18
Bundesliga,Werder Bremen,"40,805","693,692","42,100","37,500",2017/18,Bundesliga|Werder Bremen|2017/18
Bundesliga,RB Leipzig,"39,397","669,741","42,558","31,793",2017/18,Bundesliga|RB Leipzig|2017/18
Bundesliga,1. FSV Mainz 05,"28,766","489,027","34,000","23,477",2017/18,Bundesliga|1. FSV Mainz 05|2017/18
Bundesliga,TSG 1899 Hoffenheim,"28,716","488,180","30,150","24,105",2017/18,Bundesliga|TSG 1899 Hoffenheim|2017/18
Bundesliga,Bayer Leverkusen,"28,414","483,032","30,210","25,471",2017/18,Bundesliga|Bayer Leverkusen|2017/18
Bundesliga,FC Augsburg,"28,238","480,049","30,660","25,971",2017/18,Bundesliga|FC Augsburg|2017/18
Bundesliga,VfL Wolfsburg,"25,712","437,104","30,000","22,827",2017/18,Bundesliga|VfL Wolfsburg|2017/18
Bundesliga,SC Freiburg,"23,894","406,200","24,000","22,900",2017/18,Bundesliga|SC Freiburg|2017/18
La Liga,Barcelona,"67,142","1,275,694","97,939",1,2017/18,La Liga|Barcelona|2017/18
La Liga,Real Madrid,"66,863","1,270,406","80,264","55,106",2017/18,La Liga|Real Madrid|2017/18
La Liga,Atletico Madrid,"55,571","1,055,852","66,496","35,033",2017/18,La Liga|Atletico Madrid|2017/18
La Liga,Real Betis,"46,781","888,846","55,588","31,230",2017/18,La Liga|Real Betis|2017/18
La Liga,Valencia,"38,607","733,540","47,775","27,749",2017/18,La Liga|Valencia|2017/18
La Liga,Athletic Bilbao,"37,246","707,677","45,504","24,587",2017/18,La Liga|Athletic Bilbao|2017/18
La Liga,Sevilla,"32,999","626,978","40,282","22,513",2017/18,La Liga|Sevilla|2017/18
La Liga,Deportivo La Coruna,"20,542","390,299","27,877","12,789",2017/18,La Liga|Deportivo La Coruna|2017/18
La Liga,Malaga,"20,359","386,821","27,112","10,064",2017/18,La Liga|Malaga|2017/18
La Liga,Real Sociedad,"19,793","376,064","24,966","15,626",2017/18,La Liga|Real Sociedad|2017/18
La Liga,CD Alaves,"18,845","358,057","19,840","16,812",2017/18,La Liga|CD Alaves|2017/18
La Liga,Levante,"18,545","352,358","23,542","14,639",2017/18,La Liga|Levante|2017/18
La Liga,Espanyol,"17,863","339,396","25,529","11,756",2017/18,La Liga|Espanyol|2017/18
La Liga,Villarreal,"16,779","318,809","21,087","12,556",2017/18,La Liga|Villarreal|2017/18
La Liga,Celta Vigo,"16,217","308,127","20,872","10,480",2017/18,La Liga|Celta Vigo|2017/18
La Liga,Las Palmas,"16,181","307,443","26,212","4,624",2017/18,La Liga|Las Palmas|2017/18
La Liga,Getafe,"10,428","198,125","15,350","5,097",2017/18,La Liga|Getafe|2017/18
La Liga,Girona FC,"10,424","198,060","13,382","6,392",2017/18,La Liga|Girona FC|2017/18
La Liga,CD Leganes,"9,969","189,408","11,454","6,937",2017/18,La Liga|CD Leganes|2017/18
La Liga,Eibar,"5,338","101,430","6,760","4,056",2017/18,La Liga|Eibar|2017/18
French Ligue 1,Olympique Marseille,"47,314","898,967","60,410","37,949",2017/18,French Ligue 1|Olympique Marseille|2017/18
French Ligue 1,Paris Saint-Germain,"46,930","891,669","47,759","40,920",2017/18,French Ligue 1|Paris Saint-Germain|2017/18
French Ligue 1,Olympique Lyonnais,"46,005","874,090","58,069","31,679",2017/18,French Ligue 1|Olympique Lyonnais|2017/18
French Ligue 1,Lille OSC,"33,200","597,608","49,082","26,450",2017/18,French Ligue 1|Lille OSC|2017/18
French Ligue 1,AS Saint-Etienne,"28,142","534,689","38,993","21,282",2017/18,French Ligue 1|AS Saint-Etienne|2017/18
French Ligue 1,Girondins De Bordeaux,"26,048","494,909","41,290","14,368",2017/18,French Ligue 1|Girondins De Bordeaux|2017/18
French Ligue 1,FC Nantes,"24,559","466,626","34,486","17,776",2017/18,French Ligue 1|FC Nantes|2017/18
French Ligue 1,RC Strasbourg,"24,064","457,218","26,015","21,067",2017/18,French Ligue 1|RC Strasbourg|2017/18
French Ligue 1,Stade Rennes,"23,111","439,111","29,194","16,888",2017/18,French Ligue 1|Stade Rennes|2017/18
French Ligue 1,OGC Nice,"22,876","434,653","33,478","16,383",2017/18,French Ligue 1|OGC Nice|2017/18
French Ligue 1,Caen,"17,187","326,545","20,249","15,144",2017/18,French Ligue 1|Caen|2017/18
French Ligue 1,Toulouse,"16,929","321,656","31,909","10,348",2017/18,French Ligue 1|Toulouse|2017/18
French Ligue 1,FC Metz,"14,844","282,033","25,015","11,239",2017/18,French Ligue 1|FC Metz|2017/18
French Ligue 1,En Avant Guingamp,"14,502","275,531","18,378","11,901",2017/18,French Ligue 1|En Avant Guingamp|2017/18
French Ligue 1,Montpellier HSC,"13,458","255,697","20,975","9,549",2017/18,French Ligue 1|Montpellier HSC|2017/18
French Ligue 1,Dijon FCO,"12,228","232,335","15,160","10,091",2017/18,French Ligue 1|Dijon FCO|2017/18
French Ligue 1,Troyes AC,"11,723","222,729","20,006","1,060",2017/18,French Ligue 1|Troyes AC|2017/18
French Ligue 1,Angers SCO,"11,065","210,238","15,794","8,017",2017/18,French Ligue 1|Angers SCO|2017/18
French Ligue 1,SC Amiens,"9,489","180,285","11,698","7,772",2017/18,French Ligue 1|SC Amiens|2017/18
French Ligue 1,AS Monaco,"9,243","175,618","16,588","6,333",2017/18,French Ligue 1|AS Monaco|2017/18
Eredivisie,AFC Ajax,"50,956","866,244","53,320","35,000",2017/18,Eredivisie|AFC Ajax|2017/18
Eredivisie,Feyenoord,"45,588","775,000","47,500","37,500",2017/18,Eredivisie|Feyenoord|2017/18
Eredivisie,AZ Alkmaar,"43,694","742,790","513,500","11,500",2017/18,Eredivisie|AZ Alkmaar|2017/18
Eredivisie,PSV Eindhoven,"33,344","566,840","35,000","32,100",2017/18,Eredivisie|PSV Eindhoven|2017/18
Eredivisie,FC Twente,"25,059","426,000","29,300","23,200",2017/18,Eredivisie|FC Twente|2017/18
Eredivisie,SC Heerenveen,"20,242","344,118","25,600","17,300",2017/18,Eredivisie|SC Heerenveen|2017/18
Eredivisie,FC Utrecht,"18,971","322,512","22,111","15,929",2017/18,Eredivisie|FC Utrecht|2017/18
Eredivisie,NAC Breda,"18,404","312,861","18,969","17,035",2017/18,Eredivisie|NAC Breda|2017/18
Eredivisie,FC Groningen,"17,612","299,411","22,568","7,500",2017/18,Eredivisie|FC Groningen|2017/18
Eredivisie,Vitesse Arnhem,"16,209","275,560","20,000","13,921",2017/18,Eredivisie|Vitesse Arnhem|2017/18
Eredivisie,PEC Zwolle,"13,049","221,838","13,250","12,500",2017/18,Eredivisie|PEC Zwolle|2017/18
Eredivisie,Roda JC Kerkrade,"12,613","214,418","15,383","10,482",2017/18,Eredivisie|Roda JC Kerkrade|2017/18
Eredivisie,Willem II Tilburg,"12,439","211,457","14,700","10,740",2017/18,Eredivisie|Willem II Tilburg|2017/18
Eredivisie,ADO Den Haag,"11,537","196,136","14,031","7,902",2017/18,Eredivisie|ADO Den Haag|2017/18
Eredivisie,Heracles Almelo,"10,580","179,867","12,080","9,031",2017/18,Eredivisie|Heracles Almelo|2017/18
Eredivisie,Sparta Rotterdam,"10,354","176,010","13,320","8,846",2017/18,Eredivisie|Sparta Rotterdam|2017/18
Eredivisie,VVV Venlo,"6,805","115,692","8,000","5,778",2017/18,Eredivisie|VVV Venlo|2017/18
Eredivisie,SBV Excelsior,"4,160","70,726","4,400","3,704",2017/18,Eredivisie|SBV Excelsior|2017/18
Serie A,Internazionale,"57,534","1,093,153","78,328","46,807",2017/18,Serie A|Internazionale|2017/18
Serie A,AC Milan,"52,690","1,001,114","78,328","39,504",2017/18,Serie A|AC Milan|2017/18
Serie A,Napoli,"43,045","817,851","55,567","30,059",2017/18,Serie A|Napoli|2017/18
Serie A,Juventus,"38,948","740,011","41,156","29,069",2017/18,Serie A|Juventus|2017/18
Serie A,AS Roma,"38,560","732,649","58,262","29,045",2017/18,Serie A|AS Roma|2017/18
Serie A,SS Lazio,"32,842","624,000","68,000","20,000",2017/18,Serie A|SS Lazio|2017/18
Serie A,Fiorentina,"26,092","495,756","34,690","21,043",2017/18,Serie A|Fiorentina|2017/18
Serie A,Bologna,"23,273","442,185","34,135","16,271",2017/18,Serie A|Bologna|2017/18
Serie A,Genoa,"20,836","395,885","32,288","18,281",2017/18,Serie A|Genoa|2017/18
Serie A,Sampdoria,"20,065","381,242","30,117","16,635",2017/18,Serie A|Sampdoria|2017/18
Serie A,Torino,"18,596","353,331","26,105","14,605",2017/18,Serie A|Torino|2017/18
Serie A,Hellas Verona,"18,406","349,710","40,800","13,724",2017/18,Serie A|Hellas Verona|2017/18
Serie A,Atalanta,"17,921","340,492","20,076","16,120",2017/18,Serie A|Atalanta|2017/18
Serie A,Udinese,"16,604","298,864","23,758","3,830",2017/18,Serie A|Udinese|2017/18
Serie A,Benevento,"14,702","279,339","58,262","9,443",2017/18,Serie A|Benevento|2017/18
Serie A,Cagliari,"14,651","278,360","16,233","13,213",2017/18,Serie A|Cagliari|2017/18
Serie A,SPAL,"12,065","229,237","13,135","10,338",2017/18,Serie A|SPAL|2017/18
Serie A,Sassuolo,"11,259","213,929","21,584","7,563",2017/18,Serie A|Sassuolo|2017/18
Serie A,FC Crotone,"10,581","201,038","15,021","8,564",2017/18,Serie A|FC Crotone|2017/18
Serie A,Chievo,"10,373","197,084","25,142","7,000",2017/18,Serie A|Chievo|2017/18
Scottish Premiership,Celtic,"57,528","1,093,026","59,259","53,883",2017/18,Scottish Premiership|Celtic|2017/18
Scottish Premiership,Rangers,"49,174","934,298","50,215","47,272",2017/18,Scottish Premiership|Rangers|2017/18
Scottish Premiership,Hibernian,"18,124","344,355","20,193","15,459",2017/18,Scottish Premiership|Hibernian|2017/18
Scottish Premiership,Heart of Midlothian,"18,429","331,725","32,852","15,357",2017/18,Scottish Premiership|Heart of Midlothian|2017/18
Scottish Premiership,Aberdeen,"15,775","299,734","20,528","13,531",2017/18,Scottish Premiership|Aberdeen|2017/18
Scottish Premiership,Dundee,"5,947","113,000","9,193","4,863",2017/18,Scottish Premiership|Dundee|2017/18
Scottish Premiership,Motherwell,"5,448","108,969","9,974","3,196",2017/18,Scottish Premiership|Motherwell|2017/18
Scottish Premiership,Kilmarnock,"5,391","102,424","11,490","3,337",2017/18,Scottish Premiership|Kilmarnock|2017/18
Scottish Premiership,Partick Thistle,"4,580","87,013","8,264","2,452",2017/18,Scottish Premiership|Partick Thistle|2017/18
Scottish Premiership,Ross County,"4,540","86,260","6,590","3,021",2017/18,Scottish Premiership|Ross County|2017/18
Scottish Premiership,St Johnstone,"3,809","72,371","6,887","2,037",2017/18,Scottish Premiership|St Johnstone|2017/18
Scottish Premiership,Hamilton Academical,"3,095","58,807","5,406","1,272",2017/18,Scottish Premiership|Hamilton Academical|2017/18
